,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,69321,140,17,1.2336,1.1932,
6057201,6057201,21300,140,17,1.3335,1.1655,
212100901,212100901,136505,140,7,0.9734,0.8154,
193308901,193308901,67260,140,7,0.9409,0.8954,
357587601,357587601,84198,140,8,1.1776,1.2282,_mf_19_1.2254_svd19_1.2127
5179901,5179901,6237,140,19,1.1355,1.1937,
3482501,3482501,62544,140,7,0.7566,0.5975,_mf_19_1.2034_svd19_1.1659
182361501,182361501,94158,140,11,1.4520,1.1748,
270014301,270014301,57165,140,11,1.1098,1.1109,
7200501,7200501,39581,140,7,0.6755,0.5948,_mf_11_0.7495_svd11_0.8760
7078201,7078201,62542,140,7,1.3438,1.2453,_mf_11_0.7926_svd11_1.0058
57893601,57893601,158064,140,8,0.8114,0.6804,_mf_9_0.9157_mf_11_0.9380_svd9_0.7052_svd11_0.9185
202249501,202249501,48646,140,8,0.8420,0.8682,
409833101,409833101,28066,140,8,0.8693,0.8416,
238760101,238760101,44701,140,8,0.8730,0.7828,
291816601,291816601,86942,140,8,0.7912,0.9043,
482776701,482776701,7639,140,7,1.4463,1.1349,
8075501,8075501,74590,140,10,0.6492,0.7826,
62301101,62301101,28264,140,10,0.8786,0.7634,
403795801,403795801,159665,140,10,0.9617,0.9354,
204145701,204145701,59061,140,10,0.9218,0.8352,
300868301,300868301,147692,140,10,1.3017,1.3259,
210686901,210686901,41350,140,10,1.1398,1.1993,
305413501,305413501,136759,140,10,1.2951,1.2513,
264842401,264842401,42873,140,7,1.0902,1.1062,
234790501,234790501,137856,140,7,1.0169,1.1872,
262123501,262123501,35293,140,6,0.3510,0.4338,
283496201,283496201,90720,140,6,0.4741,0.5075,
244715301,244715301,113648,140,8,1.0875,1.2192,
283902101,283902101,134632,140,8,1.5024,1.1587,
353836301,353836301,3010,140,9,1.0791,1.3409,
199281701,199281701,147047,140,9,1.3251,1.1583,
416680001,416680001,119957,140,10,0.9654,0.8813,
219827401,219827401,152856,140,10,0.8433,0.8948,
174325901,174325901,145644,140,10,0.8430,0.9824,
199400601,199400601,61568,140,8,1.0604,1.0301,
313429701,313429701,77151,140,8,1.1495,1.0167,
337722901,337722901,52917,140,9,0.9097,0.8663,
87260801,87260801,3831,140,9,0.8085,0.8098,
192092401,192092401,9174,140,6,0.7097,0.6205,
304434901,304434901,27612,140,6,0.4522,0.5361,
363068601,363068601,70356,140,7,0.5423,0.5214,
279032401,279032401,33374,140,7,0.5747,0.5553,
316713401,316713401,103902,140,6,1.2951,1.1388,
222217501,222217501,43138,140,6,1.1735,1.0645,
381997801,381997801,94649,140,7,0.5951,0.8415,
54199801,54199801,9361,140,15,1.1750,1.0977,_mf_16_0.8817_svd16_0.9437
154326101,154326101,82342,140,15,1.0606,1.2352,_mf_16_0.7414_svd16_0.9119
5727001,5727001,99789,140,16,0.8889,0.9048,
13423401,13423401,143038,140,7,0.7285,0.7146,
34638201,34638201,159237,140,7,0.7098,0.7157,_mf_8_0.9874_mf_9_1.3665_svd8_0.9786_svd9_0.5269
129430001,129430001,56847,140,7,0.8579,0.7780,_mf_8_1.0294_mf_10_0.7941_svd8_1.0663_svd10_0.9549
133074701,133074701,17051,140,6,1.0145,1.0632,_mf_7_0.8438_mf_8_0.8612_mf_13_0.8348_svd7_0.7617_svd8_0.8784_svd13_0.9018
375162701,375162701,39728,140,9,0.6974,0.5661,
241392001,241392001,69708,140,9,0.6630,0.6883,
285730001,285730001,135629,140,9,0.5454,0.6244,
30669301,30669301,137024,140,7,0.8035,0.8842,
34649901,34649901,14163,140,13,0.7696,0.7711,
5540101,5540101,73542,140,16,1.1520,0.9442,
638701,638701,13134,140,8,1.1554,0.9989,_mf_16_0.9582_svd16_0.9936
80136001,80136001,25606,140,7,0.8966,0.7923,
479474201,479474201,31644,140,7,0.8191,0.8523,
34766901,34766901,6916,140,14,0.9466,0.8890,
33881501,33881501,68282,140,14,1.0103,1.0412,
187399301,187399301,80036,140,6,1.5478,0.9427,
314570201,314570201,102591,140,6,1.0811,1.0234,
39070501,39070501,38404,140,9,2.3384,1.9183,
102335201,102335201,118303,140,8,1.8433,2.0330,_mf_9_1.6896_svd9_1.8783
39962701,39962701,158899,140,8,1.1314,1.0472,
39163501,39163501,155605,140,8,1.0334,1.1719,
38416601,38416601,141767,140,8,0.9864,1.1008,
40757101,40757101,109831,140,13,1.1041,1.1461,
40807001,40807001,14436,140,13,1.1766,1.1920,
39377701,39377701,70221,140,13,0.8243,0.8137,
38668501,38668501,19240,140,12,0.6536,0.6252,_mf_13_0.7645_svd13_0.8305
39038001,39038001,13946,140,12,0.6832,0.5028,_mf_13_0.8515_svd13_0.8370
215904201,215904201,109459,140,7,0.5331,0.4518,
275580101,275580101,47300,140,7,0.5609,0.5990,
250303701,250303701,69998,140,7,1.1842,1.0909,
217431401,217431401,28351,140,7,0.9574,0.9740,
38361601,38361601,10310,140,8,2.1667,2.2021,
383206301,383206301,117949,140,10,0.4328,0.4800,_mf_11_0.8630_svd11_0.9360
184483601,184483601,25993,140,10,0.5184,0.4227,
265683401,265683401,90969,140,8,0.6907,0.6581,
387895901,387895901,97333,140,8,0.4890,0.6517,
181048101,181048101,143553,140,7,0.6593,0.9156,
351425701,351425701,64785,140,7,0.9078,0.7494,
264609101,264609101,110520,140,11,0.7290,0.8378,
121960501,121960501,1036,140,10,1.1453,0.9886,
479367601,479367601,106649,140,10,1.1774,1.1389,
41664601,41664601,11279,140,10,0.9845,1.0824,
38952701,38952701,122496,140,11,0.3788,0.3812,_mf_12_0.3010_svd12_0.4127
39559101,39559101,129230,140,11,0.3221,0.3120,_mf_12_0.3298_mf_13_0.6268_svd12_0.4127_svd13_0.8487
16795101,16795101,128985,140,12,0.8990,0.9363,
33834201,33834201,14369,140,12,0.8886,0.7891,
191627501,191627501,72211,140,6,0.9102,1.0068,
140505801,140505801,134202,140,6,0.9471,0.9355,
341860301,341860301,108868,140,5,0.7545,0.5687,_mf_6_0.5634_svd6_0.6682
201782001,201782001,157814,140,5,1.0303,0.8162,
182017801,182017801,65914,140,8,0.9358,0.9016,
404482501,404482501,44114,140,8,1.0771,0.9742,
60179801,60179801,6244,140,16,0.9615,0.8525,
62664901,62664901,155584,140,16,0.8470,0.8758,
73599001,73599001,105476,140,18,1.0004,0.8087,
464663601,464663601,136126,140,18,0.7407,0.7161,
73554701,73554701,73081,140,18,0.7809,0.8287,
345867701,345867701,30428,140,6,0.7431,0.7770,
215134701,215134701,65877,140,6,0.6918,0.8135,
245713701,245713701,36635,140,7,0.6648,0.7284,
411312001,411312001,59069,140,7,0.7372,0.7586,
479291201,479291201,123761,140,11,0.8352,0.7951,
55155001,55155001,135543,140,6,0.9283,0.9365,_mf_11_0.7113_svd11_0.8884
356689501,356689501,24859,140,8,0.9054,0.9888,
360017201,360017201,130311,140,8,1.2748,1.0476,
363888601,363888601,22027,140,9,0.9724,0.8705,
185334601,185334601,86462,140,9,1.0096,1.0393,
48035901,48035901,138377,140,8,0.7588,0.6498,
48327701,48327701,29344,140,8,0.7321,0.6784,
48251401,48251401,144558,140,14,0.9802,0.9030,
471762501,471762501,138097,140,11,0.4833,0.4940,_mf_14_0.8421_svd14_1.0323
64058401,64058401,127425,140,8,0.7405,0.7370,
63774501,63774501,7942,140,8,0.6558,0.7684,
63588401,63588401,10037,140,8,0.7842,0.8222,
48224501,48224501,94045,140,11,0.4342,0.5519,
368208501,368208501,34955,140,8,1.7646,1.6597,
235928601,235928601,67387,140,8,1.8335,1.8256,
63790501,63790501,113942,140,16,0.8225,0.8415,
63564601,63564601,159900,140,16,0.7911,0.8145,
213783101,213783101,97994,140,6,0.5919,0.6119,
251292301,251292301,111065,140,6,0.5475,0.5706,
351430501,351430501,72503,140,6,0.7428,0.7624,
48121801,48121801,139435,140,10,0.4974,0.6600,
48051901,48051901,10288,140,10,0.5984,0.6365,
97613201,97613201,69169,140,12,0.5311,0.5370,
161963801,161963801,88537,140,12,0.4950,0.6165,_mf_13_0.9163_svd13_0.8320
162757101,162757101,9516,140,12,0.6491,0.6108,
159696901,159696901,57734,140,12,0.5720,0.6631,
489035301,489035301,124242,140,12,0.5066,0.5733,_mf_13_0.8288_mf_15_0.6942_svd13_0.8451_svd15_0.7945
457497401,457497401,160436,140,13,0.8647,0.8157,
12546801,12546801,141848,140,9,0.3692,0.4287,
12368901,12368901,137293,140,9,0.4118,0.4115,
161194201,161194201,103707,140,19,0.9166,1.1447,_mf_21_0.8080_svd21_0.7297
481319801,481319801,23029,140,19,0.8893,1.0010,
186917001,186917001,110243,140,6,0.5494,0.4500,
