MSE(mean),MSE(overall),Cov.(mean),Cov.(overall)
1.8669,1.9932,0.0006,0.0003
1.6814,1.7575,0.0013,0.0006
1.6137,1.6494,0.002,0.0011
1.544,1.4936,0.003,0.0018
1.7774,1.6026,0.0078,0.0048
1.6629,1.5275,0.0638,0.0501
1.6572,1.5376,0.1168,0.0922
1.6178,1.4861,0.1376,0.1117
1.6317,1.4897,0.144,0.1166
1.6302,1.4881,0.1478,0.12
1.6353,1.4901,0.1507,0.1214
1.6316,1.49,0.1517,0.1222
1.6274,1.4898,0.1532,0.1233
1.6327,1.4912,0.1556,0.125
1.6299,1.4891,0.1582,0.127
1.6233,1.485,0.1613,0.1298
1.6246,1.4862,0.1634,0.131
1.6201,1.476,0.1673,0.1354
1.6216,1.4763,0.1683,0.1361
1.6233,1.4805,0.1703,0.1374
1.6241,1.4844,0.1729,0.1387
1.6216,1.4821,0.1745,0.14
1.6232,1.4826,0.1758,0.1408
1.6226,1.4822,0.1759,0.1408
1.6226,1.4822,0.1759,0.1408
1.6238,1.4824,0.176,0.1409
1.6238,1.4824,0.176,0.1409
