,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,156118,150,17,0.5727,0.7175,
6057201,6057201,55178,150,17,0.6054,0.6891,
212100901,212100901,34049,150,7,1.4508,1.1974,
193308901,193308901,131840,150,7,1.3229,1.3517,
357587601,357587601,117521,150,8,1.3305,1.7019,_mf_19_0.6531_svd19_0.6714
5179901,5179901,67004,150,19,0.6467,0.6392,
3482501,3482501,12672,150,7,0.8294,0.9081,_mf_19_0.6533_svd19_0.7388
182361501,182361501,36683,150,11,1.4131,1.4152,
270014301,270014301,132397,150,11,1.4949,1.4312,
7200501,7200501,32154,150,7,0.4720,1.2773,_mf_11_0.8541_svd11_0.9618
7078201,7078201,86217,150,7,0.8823,0.9734,_mf_11_1.0122_svd11_0.8641
57893601,57893601,94575,150,8,0.7368,1.0042,_mf_9_1.2365_mf_11_0.9703_svd9_0.9286_svd11_1.0226
202249501,202249501,107348,150,8,0.8645,0.9162,
409833101,409833101,26958,150,8,0.8780,0.8942,
238760101,238760101,90886,150,8,0.8731,0.8977,
291816601,291816601,8369,150,8,0.8391,0.9049,
482776701,482776701,2473,150,7,0.9658,0.7704,
8075501,8075501,53483,150,10,1.1256,1.0622,
62301101,62301101,53326,150,10,1.1168,0.8936,
403795801,403795801,98013,150,10,0.4052,0.3484,
204145701,204145701,114423,150,10,0.4503,0.3839,
300868301,300868301,84934,150,10,0.7161,0.7751,
210686901,210686901,131647,150,10,0.7092,0.7139,
305413501,305413501,86340,150,10,0.8311,0.7837,
264842401,264842401,109445,150,7,0.9359,0.9185,
234790501,234790501,29179,150,7,0.8421,0.8873,
262123501,262123501,143420,150,6,0.9265,0.8444,
283496201,283496201,107549,150,6,1.2985,1.3053,
244715301,244715301,9205,150,8,1.1898,1.0743,
283902101,283902101,149873,150,8,1.1261,1.1165,
353836301,353836301,69395,150,9,0.9958,1.0345,
199281701,199281701,159235,150,9,1.1390,1.1846,
416680001,416680001,111228,150,10,0.4802,0.5455,
219827401,219827401,152091,150,10,0.5604,0.6342,
174325901,174325901,142483,150,10,0.6415,0.5675,
199400601,199400601,136192,150,8,0.8727,0.6228,
313429701,313429701,9638,150,8,0.7443,0.7488,
337722901,337722901,70455,150,9,2.1697,2.1372,
87260801,87260801,146270,150,9,2.2163,2.0826,
192092401,192092401,67024,150,6,0.4196,0.3191,
304434901,304434901,20481,150,6,0.3927,0.3408,
363068601,363068601,24080,150,7,0.5292,0.5411,
279032401,279032401,148738,150,7,0.4475,0.4840,
316713401,316713401,100263,150,6,0.7635,0.7527,
222217501,222217501,114323,150,6,0.6435,0.8529,
381997801,381997801,46604,150,7,0.4353,0.5426,
54199801,54199801,47258,150,15,0.7302,0.7230,_mf_16_0.9503_svd16_0.8724
154326101,154326101,116195,150,15,0.7486,0.8827,_mf_16_1.0288_svd16_0.9317
5727001,5727001,70329,150,16,0.8774,0.9475,
13423401,13423401,3798,150,7,0.6231,0.5417,
34638201,34638201,150301,150,7,0.6804,0.7231,_mf_8_0.6797_mf_9_0.6007_svd8_0.5092_svd9_0.5950
129430001,129430001,150877,150,7,0.6860,0.8492,_mf_8_0.7494_mf_10_0.9667_svd8_0.9417_svd10_0.8449
133074701,133074701,41976,150,6,0.9392,1.1750,_mf_7_0.8442_mf_8_0.7983_mf_13_1.0178_svd7_0.5339_svd8_0.7727_svd13_0.8033
375162701,375162701,27150,150,9,0.7717,0.6961,
241392001,241392001,97442,150,9,0.5465,0.6392,
285730001,285730001,88988,150,9,0.6661,0.6406,
30669301,30669301,94200,150,7,0.9328,0.7361,
34649901,34649901,113115,150,13,0.9465,0.9620,
5540101,5540101,55487,150,16,0.5896,0.6579,
638701,638701,126412,150,8,0.9899,0.8394,_mf_16_0.5830_svd16_0.5585
80136001,80136001,116178,150,7,1.1010,1.0852,
479474201,479474201,150987,150,7,1.0856,1.1855,
34766901,34766901,103598,150,14,0.9714,1.0908,
33881501,33881501,146639,150,14,1.0165,0.9147,
187399301,187399301,126677,150,6,0.5753,0.6069,
314570201,314570201,61805,150,6,0.5994,0.6627,
39070501,39070501,17559,150,9,0.5136,0.6032,
102335201,102335201,31131,150,8,0.8508,0.8174,_mf_9_0.5328_svd9_0.6418
39962701,39962701,160531,150,8,0.7971,0.7375,
39163501,39163501,151887,150,8,0.8023,0.7354,
38416601,38416601,4635,150,8,0.8081,0.6424,
40757101,40757101,58588,150,13,0.4096,0.4005,
40807001,40807001,139683,150,13,0.4831,0.4419,
39377701,39377701,80487,150,13,0.6477,0.6461,
38668501,38668501,37657,150,12,0.6284,0.5711,_mf_13_0.6379_svd13_0.5277
39038001,39038001,125258,150,12,0.6525,0.8759,_mf_13_0.5757_svd13_0.6586
215904201,215904201,77725,150,7,1.0840,1.0549,
275580101,275580101,50718,150,7,1.0794,1.1429,
250303701,250303701,50493,150,7,0.7876,0.7162,
217431401,217431401,144556,150,7,0.7271,0.6357,
38361601,38361601,113244,150,8,0.8157,0.7469,
383206301,383206301,117404,150,10,0.4720,0.3763,_mf_11_0.5192_svd11_0.4636
184483601,184483601,101487,150,10,0.2848,0.3333,
265683401,265683401,118092,150,8,1.2289,1.1765,
387895901,387895901,13231,150,8,1.3709,1.2704,
181048101,181048101,145970,150,7,1.7310,1.5436,
351425701,351425701,22973,150,7,1.5353,1.6992,
313161701,313161701,7490,150,6,0.6441,0.7369,
346627001,346627001,116587,150,6,0.7045,0.6744,
264609101,264609101,79474,150,11,0.4772,0.4972,
121960501,121960501,118698,150,10,1.0180,0.9614,
479367601,479367601,51734,150,10,0.8660,1.0317,
41664601,41664601,77475,150,10,0.9767,1.0316,
38952701,38952701,78244,150,11,1.4062,1.4356,_mf_12_1.5876_svd12_1.3910
39559101,39559101,121142,150,11,1.4367,1.2968,_mf_12_1.3250_mf_13_0.9153_svd12_1.3505_svd13_0.8284
16795101,16795101,103222,150,12,1.0541,1.1050,
33834201,33834201,129689,150,12,1.1161,1.3240,
191627501,191627501,114411,150,6,1.8906,1.8804,
140505801,140505801,65992,150,6,1.8124,1.7601,
341860301,341860301,16222,150,5,0.7769,0.7928,_mf_6_0.6598_svd6_0.6834
201782001,201782001,97018,150,5,0.9997,1.0011,
182017801,182017801,27621,150,8,1.1016,1.0952,
404482501,404482501,107935,150,8,1.1326,1.1657,
60179801,60179801,61223,150,16,1.0253,0.9688,
62664901,62664901,94409,150,16,0.8339,0.8466,
73599001,73599001,146853,150,18,0.8187,0.8137,
464663601,464663601,6467,150,18,0.7824,0.8467,
73554701,73554701,44946,150,18,0.7618,0.8900,
345867701,345867701,31154,150,6,0.7563,0.6776,
215134701,215134701,15077,150,6,1.0090,0.8852,
